unique;id;round;agentNum;agentName;parPro;parGender;stimulus;offerAg;offerPar;accepted;age;edu;relationship;atgM;status;masculinity;0;1;2;3;4;5;Zstatus;Zmasculinity
i33r21;33;21;2;Karolina;1;0;1;6;4;0;21;3;0;0;53;37;0;-4,795860420000000;-5,872022260000010;-1,111885710000000;-1,682096840000000;0,868344109999995;0,17778;-1,02916
i33r22;33;22;1;Tomek;1;0;1;6;4;1;21;3;0;0;79;85;0;-1,532546860000010;1,393258370000000;3,207782859999990;1,851921370000000;2,943411639999990;1,21130;1,76704
i33r23;33;23;1;Tomek;0;0;1;4;6;1;21;3;0;0;79;85;0;-0,049152010000000;-2,382896530000000;-4,053207280000000;2,803816930000000;1,249586590000010;1,21130;1,76704
i33r24;33;24;2;Karolina;1;0;2;7;3;0;21;3;0;0;53;37;0;-0,529097960000001;4,086911250000000;4,204770450000000;3,444541719999990;5,220082749999990;0,17778;-1,02916
i33r25;33;25;1;Tomek;1;0;2;6;4;0;21;3;0;0;79;85;0;-0,090109609999999;8,280894629999990;9,470488520000000;8,392718930000000;1,098810110000000;1,21130;1,76704
i33r26;33;26;2;Karolina;0;0;0;4;6;1;21;3;0;0;53;37;0;3,324264160000010;-1,600518689999990;0,688007640000009;-0,496520599999997;-0,136080139999990;0,17778;-1,02916
i33r27;33;27;2;Karolina;0;0;0;5;5;0;21;3;0;0;53;37;0;2,020586550000000;2,065779700000010;-4,447394539999990;0,214240110000006;0,777311710000006;0,17778;-1,02916
i33r28;33;28;1;Tomek;1;0;0;7;3;1;21;3;0;0;79;85;0;2,415011709999990;-0,977212940000001;-3,674498980000010;0,313695969999998;-0,620010850000000;1,21130;1,76704
i33r29;33;29;1;Tomek;1;0;0;6;4;1;21;3;0;0;79;85;0;-2,242088750000010;-5,033540079999990;-1,694061180000010;-0,335423870000000;-0,192034030000002;1,21130;1,76704
i33r30;33;30;2;Karolina;1;0;0;6;4;0;21;3;0;0;53;37;0;-0,446936620000002;3,552305080000000;3,171645830000000;3,117557910000000;4,324514370000000;0,17778;-1,02916
i33r31;33;31;1;Tomek;1;0;0;6;4;0;21;3;0;0;79;85;0;-0,442689149999993;1,552644350000010;-3,945000620000000;-3,125718220000000;-0,631042229999991;1,21130;1,76704
i33r32;33;32;2;Karolina;0;0;1;5;5;0;21;3;0;0;53;37;0;4,257252870000000;5,334516620000000;6,016449850000000;6,764129369999990;5,963575749999990;0,17778;-1,02916
i33r33;33;33;1;Tomek;1;0;2;6;4;1;21;3;0;0;79;85;0;4,814097200000010;3,663003660000000;0,089559989999998;-0,488696669999996;6,262789560000000;1,21130;1,76704
i33r34;33;34;2;Karolina;0;0;1;7;3;0;21;3;0;0;53;37;0;3,861003860000010;2,567156820000010;0,099510410000008;4,025691230000010;-0,148786279999996;0,17778;-1,02916
i33r35;33;35;1;Tomek;0;0;2;4;6;1;21;3;0;0;79;85;0;0,643922979999999;-3,604700150000000;0,147645060000002;-0,244819620000001;-0,195980679999991;1,21130;1,76704
i33r36;33;36;2;Karolina;1;0;0;6;4;1;21;3;0;0;53;37;0;-0,778592520000004;-3,170491950000000;-3,170491950000000;-8,765886720000000;-12,160973120000000;0,17778;-1,02916
i33r37;33;37;2;Karolina;1;0;0;5;5;0;21;3;0;0;53;37;0;-0,700074200000003;-4,307875409999990;0,521809259999998;-2,680417050000000;-1,658558160000000;0,17778;-1,02916
i33r38;33;38;1;Tomek;0;0;1;7;3;0;21;3;0;0;79;85;0;2,868301680000000;3,333001690000000;-0,332058070000002;1,506455890000000;-3,758079300000010;1,21130;1,76704
