met	nar	plec	zamiesz	wiek	zwiaz	ksiaz	dem.p	dem.n	ak.n	ak.p	fzk	gt.t	gt.c	gtr	hdf	fwc	ssup	z	fzp	cai	ag.s	ag.w	h	fch	asi.b	asi.h	asi	pobyt_mes	delikatnosc	spraw_wspolnotowa	przebojowosc	czynnik_3elem	sprawczosc_bez_agresji
papier	polska	m??czyzna	Norwegia	 	 	76	58	 	 	71	5	75	45	5	37	3,33333E+12	6,66667E+12	60	75	54	75	43	8	58	2	63	4	59	2	47	6,66667E+12	59	25
papier	polska	kobieta	Norwegia	 	 	96	91	300	89	48	75	1,42857E+12	53	66	64	63	71	8	51	4	72	53	45	25	83	25	77	5	 	 	31	75	48
papier	polska	m??czyzna	Norwegia	 	 	98	96	70	87	5	6	54	66	3,33333E+12	67	39	75	6	35	6,66667E+12	58	25	61	59	75	60	75	40	25	70	5	42	52
papier	polska	kobieta	Norwegia	 	 	51	67	250	90	58	5	5	67	5,71429E+12	3,33333E+12	36	29	75	9	8	9	4	81	2	69	79	94	78	5	65	75	72	34
papier	polska	m??czyzna	Norwegia	 	 	89	88	100	51	75	25	5	40	2,85714E+12	76	 	21	64	75	37	4	22	8	67	4	52	2	21	3,33333E+12	87	5	24	5
papier	polska	kobieta	Norwegia	 	 	5	2	91	91	500	43	25	49	1,42857E+12	77	 	6,66667E+12	75	68	25	64	4	38	6	53	2	41	4	79	6,66667E+12	70	75	45
papier	polska	m??czyzna	Norwegia	 	 	 	87	4	0	10	26	20	56	25	29	3,33333E+12	 	35	5	35	74	125	25	762	36	6	73	71	2	42	6,66667E+12	76	75
papier	polska	kobieta	Norwegia	 	 	0	0	300	100	46	5	90	1,42857E+12	85	 	58	52	4	73	6	69	8	66	6,66667E+12	100	38	5	62	75	63	25	13	5
papier	polska	m??czyzna	Norwegia	 	 	0	0	200	61	25	49	25	32	2,85714E+12	3,33333E+12	38	8,33333E+12	32	8	19	4	65	4	60	66	6,66667E+12	87	75	42	5	50	25	57
papier	polska	kobieta	Norwegia	 	 	37	8	100	27	5	79	75	80	11	 	73	77	17	6	9	4	 	 	50	55	6,66667E+12	73	75	17	25	31	77	42
papier	polska	m??czyzna	Norwegia	 	 	16	14	1500	25	82	75	75	78	8,57143E+12	96	76	3,33333E+12	875	17	11	76	2	56	4	49	89	25	34	75	33	80	5	36
papier	polska	kobieta	Norwegia	 	 	4	0	82	82	200	72	100	100	78	3,33333E+12	84	3,33333E+12	875	26	8	20	6	64	2	52	8	57	3,33333E+12	100	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	3	0	0	0	200	55	75	80	5	74	 	3,33333E+12	87	38	625	35	8	19	66	4	23	2	58	6,66667E+12	100	 	 	 
papier	polska	kobieta	Norwegia	 	 	 	 	 	 	 	 	50	5	28	51	7,14286E+12	 	6,66667E+12	55	5	51	5	62	5	46	19	8	44	2	40	8	50	87
papier	polska	m??czyzna	Norwegia	 	 	47	50	 	 	100	61	89	4,28571E+12	55	 	3,33333E+12	73	2	45	4	42	2	65	6,66667E+12	100	 	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	3	0	0	200	74	75	87	5	85	 	57	100	74	75	50	0	100	70	4	100	100	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	1	0	0	 	 	5	87	5	35	61	64	5	26	25	33	38	6	48	6	35	6	69	6,66667E+12	57	25	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	54	54	200	59	5	100	43	84	47	6,66667E+12	68	625	23	0	43	8	59	8	49	3,33333E+12	100	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	1	0	100	100	100	51	25	83	60	94	 	80	10	2	0	62	50	4	33	3,33333E+12	100	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	100	100	400	65	5	53	87	82	5,71429E+12	6,66667E+12	72	3,33333E+12	6	19	8	77	60	4	66	6,66667E+12	100	21	5	47	32	5	0	79
papier	polska	m??czyzna	Norwegia	 	 	0	0	100	77	58	87	78	2,85714E+12	71	 	6,66667E+12	6,66667E+12	25	36	6	22	2	66	2	27	36	100	10	5	32	75	47	5
papier	polska	kobieta	Norwegia	 	 	4	2	0	0	200	95	56	75	89	8,57143E+12	84	65	34	5	0	57	125	48	6	25	55	4	46	6	48	100	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	0	55	55	100	64	51	37	5,71429E+12	6,66667E+12	26	6,66667E+12	5	0	0	37	58	6	51	6,66667E+12	100	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	52	51	200	58	5	88	31	50	 	58	52	27	2	89	8	89	4	51	82	75	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	3	0	0	0	100	70	53	2,85714E+12	100	 	47	49	18	2	46	100	 	 	 	 	 	 	 	 	94	57	7,14286E+12	71
papier	polska	kobieta	Norwegia	 	 	4	0	0	0	200	56	80	5,71429E+12	71	6,66667E+12	47	37	48	24	8	100	59	65	6,66667E+12	100	 	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	3	0	51	51	100	57	5	100	66	3,33333E+12	 	6,66667E+12	0	41	75	18	4	16	4	69	61	16	3,33333E+12	73	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	0	0	600	66	5	86	5	90	6,66667E+12	56	55	875	9	6	20	2	77	69	52	3,33333E+12	73	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	0	100	53	100	100	88	1,42857E+12	100	 	55	57	5	0	0	69	6	71	2	51	3,33333E+12	65	75	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	50	25	 	 	75	87	25	70	 	59	22	8	5	2	70	6	78	6	84	100	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	0	50	50	400	51	25	56	27	6,66667E+12	48	54	625	31	2	4	6	58	8	38	6	65	87	25	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	52	53	200	100	87	25	64	100	60	44	37	375	54	4	25	6	39	2	9	8	66	6,66667E+12	100	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	3	0	100	100	100	62	75	100	30	3,33333E+12	 	38	42	5	49	6	9	4	19	4	30	4	0	100	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	 	 	 	 	 	 	 	48	18	75	34	6,66667E+12	6,66667E+12	58	3,33333E+12	51	56	25	43	5	0	0	63	8	49	4	50	100
papier	polska	m??czyzna	Norwegia	 	 	 	 	 	 	 	 	 	0	0	76	52	 	61	6,66667E+12	51	58	25	22	26	4	0	32	8	30	2	51	100	 
papier	polska	kobieta	Norwegia	 	 	 	 	 	 	 	 	25	36	25	86	8,57143E+12	3,33333E+12	6,66667E+12	83	49	0	67	625	12	2	0	68	8	48	6	90	6,66667E+12	66
papier	polska	m??czyzna	Norwegia	 	 	 	 	 	 	 	 	5	15	5	100	3,33333E+12	100	62	50	81	125	48	4	11	89	2	61	2	51	100	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	2	76	72	 	 	5	70	75	17	6,66667E+12	6,66667E+12	62	5	65	25	51	375	54	49	2	53	8	44	4	51	6,66667E+12	 
papier	polska	m??czyzna	Norwegia	 	 	6	3	78	81	250	72	75	83	25	34	6,66667E+12	3,33333E+12	63	75	68	125	75	2	55	4	67	49	2	55	6,66667E+12	72	5	 
papier	polska	kobieta	Norwegia	 	 	0	0	300	63	5	34	100	100	75	 	50	6,66667E+12	79	2	69	6	85	6,66667E+12	100	19	44	5	56	75	4	25	103	3,33333E+11
papier	polska	m??czyzna	Norwegia	 	 	100	100	100	89	25	57	100	66	6,66667E+12	 	 	 	13	2	0	69	4	35	4	50	100	26	39	25	66	25	0	108
papier	polska	kobieta	Norwegia	 	 	53	53	150	45	5	45	8,57143E+12	64	66	 	64	3,33333E+12	8	88	60	100	75	17	5	17	56	16	75	72	3,33333E+12	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	56	56	50	34	75	27	75	23	4,28571E+12	49	 	17	63	2	14	2	35	8	10	59	6,66667E+12	85	3	49	5	56	75	27
papier	polska	kobieta	Norwegia	 	 	5	0	71	71	100	58	72	75	66	2,85714E+12	85	6,66667E+12	66	5	59	68	125	31	2	27	6	61	4	51	8	54	59	 
papier	polska	m??czyzna	Norwegia	 	 	5	3	49	50	250	41	75	72	25	17	3,33333E+12	69	75	65	875	47	8	30	8	53	4	51	2	48	69	5	 	 
papier	polska	kobieta	Norwegia	 	 	 	 	0	0	200	100	87	5	39	6,66667E+12	 	5	49	8	18	4	100	30	6	100	54	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	51	53	100	78	46	93	86	5,71429E+12	84	3,33333E+12	63	55	14	36	6	16	2	27	6,66667E+12	60	 	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	55	55	400	64	57	74	69	8,57143E+12	72	 	6,66667E+12	5	25	 	 	37	2	67	45	6	54	72	18	13	75	44	5	14
papier	polska	m??czyzna	Norwegia	 	 	63	34	 	 	55	5	5	80	33	68	47	3,33333E+12	36	4	36	6	67	6	63	8	52	76	32	50	58	25	10	75
papier	polska	kobieta	Norwegia	 	 	74	61	200	64	59	25	41	1,42857E+12	18	 	50	6,66667E+12	68	37	2	48	8	51	4	52	6,66667E+12	51	5	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	85	50	100	67	5	70	52	41	3,33333E+12	 	6,66667E+12	3,33333E+12	2	51	2	56	50	54	6,66667E+12	59	 	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	 	 	 	 	73	47	46	68	25	11	67	85	5	28	2	16	2	59	2	60	8	53	91	25	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	3	49	47	500	7	48	33	25	3,33333E+12	 	63	25	62	25	21	2	26	8	51	35	4	63	6,66667E+12	93	75	55	56
papier	polska	kobieta	Norwegia	 	 	6	2	50	51	200	51	33	34	5	6,66667E+12	 	29	10	8	9	6	47	4	44	4	46	3,33333E+12	61	5	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	2	72	55	300	9	64	25	26	53	 	100	25	59	25	15	6	11	6	55	29	6	65	6,66667E+12	74	 	 	 
papier	polska	kobieta	Norwegia	 	 	44	45	300	 	 	 	100	66	4,28571E+12	100	84	6,66667E+12	0	0	88	2	60	6	65	3,33333E+12	62	5	25	38	88	25	116	6,66667E+11
papier	polska	m??czyzna	Norwegia	 	 	57	39	1000	 	 	61	75	63	1,42857E+12	89	 	3,33333E+12	75	84	15	6	10	66	2	57	6	50	6,66667E+12	83	5	16	25	48
papier	polska	kobieta	Norwegia	 	 	47	100	600	87	41	25	49	5,71429E+12	52	 	6,66667E+12	83	70	8	 	 	69	 	 	 	 	 	 	 	 	 	 	108
papier	polska	m??czyzna	Norwegia	 	 	100	100	50	 	 	 	 	 	66	 	29	51	2	3	4	89	 	 	37	6,66667E+12	 	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	70	68	150	64	25	64	25	43	2,85714E+12	69	 	51	53	5	35	8	19	6	42	2	53	2	47	6,66667E+12	73	75	16	25
papier	polska	m??czyzna	Norwegia	 	 	0	83	84	70	55	25	5	49	7,14286E+12	92	68	56	65	2	65	2	55	53	48	28	25	65	5	63	28	79	3,33333E+12	61
papier	polska	kobieta	Norwegia	 	 	34	34	300	56	43	47	8,57143E+12	17	81	 	61	44	66	67	4	58	6	57	6,66667E+12	65	75	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	82	86	200	65	25	62	75	75	71	6,66667E+12	 	5	6	56	8	61	2	57	67	3,33333E+12	64	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	2	55	55	100	62	57	5	68	61	 	57	100	37	75	23	4	3	4	58	6	48	6	49	100	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	5	2	0	0	200	72	75	71	75	54	 	64	62	5	17	6	0	63	8	59	6	52	100	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	0	0	100	54	20	75	61	5,71429E+12	100	 	6,66667E+12	86	2	6	100	51	2	54	3,33333E+12	100	37	75	69	75	100	0	100	5
papier	polska	m??czyzna	Norwegia	 	 	100	100	300	70	5	11	72	8,57143E+12	95	 	89	71	6	12	8	61	8	60	8	17	3,33333E+12	100	50	75	69	75	82	25
papier	polska	kobieta	Norwegia	 	 	4	2	61	57	 	 	75	64	25	44	51	42	85	37	875	27	20	6	40	8	34	2	53	83	 	 	 	 
